# Power spectra components in 1-loop lpt. 
#  Columns are k, b1, b1sq, b2, b1b2, b2sq, bs, b1bs, b2bs, bssq
1.0000e-03 6.8087e+02 3.0731e-03 -1.2953e-03 1.3618e+03 6.8091e+02 1.0079e-02 6.2746e-02 6.6002e+01 9.0676e-01 3.7989e+00 1.9138e+02 1.8446e+02
1.0842e-03 7.3417e+02 3.8478e-03 -1.8365e-03 1.4684e+03 7.3420e+02 -2.0745e-03 1.4884e-02 6.5790e+01 1.4011e-02 1.9626e-02 1.7538e+02 1.1688e+02
1.1756e-03 7.9136e+02 4.8749e-03 -2.3219e-03 1.5827e+03 7.9140e+02 -2.4282e-03 1.7502e-02 6.5790e+01 1.6444e-02 2.3035e-02 1.7537e+02 1.1687e+02
1.2746e-03 8.5264e+02 6.1731e-03 -2.9345e-03 1.7053e+03 8.5268e+02 -2.8401e-03 2.0580e-02 6.5789e+01 1.9295e-02 2.7028e-02 1.7536e+02 1.1685e+02
1.3819e-03 9.1824e+02 7.8132e-03 -3.7078e-03 1.8365e+03 9.1829e+02 -3.3193e-03 2.4202e-02 6.5788e+01 2.2632e-02 3.1705e-02 1.7534e+02 1.1683e+02
1.4983e-03 9.8844e+02 9.8839e-03 -4.6831e-03 1.9769e+03 9.8850e+02 -3.8758e-03 2.8462e-02 6.5788e+01 2.6537e-02 3.7178e-02 1.7532e+02 1.1681e+02
1.6246e-03 1.0634e+03 1.2495e-02 -5.9113e-03 2.1268e+03 1.0634e+03 -4.5206e-03 3.3474e-02 6.5787e+01 3.1102e-02 4.3579e-02 1.7530e+02 1.1678e+02
1.7614e-03 1.1433e+03 1.5786e-02 -7.4565e-03 2.2867e+03 1.1434e+03 -5.2657e-03 3.9372e-02 6.5786e+01 3.6435e-02 5.1058e-02 1.7527e+02 1.1675e+02
1.9098e-03 1.2284e+03 1.9928e-02 -9.3979e-03 2.4569e+03 1.2285e+03 -6.1240e-03 4.6313e-02 6.5785e+01 4.2659e-02 5.9790e-02 1.7524e+02 1.1671e+02
2.0706e-03 1.3189e+03 2.5136e-02 -1.1834e-02 2.6380e+03 1.3190e+03 -7.1093e-03 5.4482e-02 6.5783e+01 4.9913e-02 6.9972e-02 1.7521e+02 1.1666e+02
2.2450e-03 1.4150e+03 3.1676e-02 -1.4886e-02 2.8301e+03 1.4151e+03 -8.2352e-03 6.4100e-02 6.5782e+01 5.8358e-02 8.1831e-02 1.7516e+02 1.1661e+02
2.4341e-03 1.5167e+03 3.9878e-02 -1.8701e-02 3.0334e+03 1.5168e+03 -9.5153e-03 7.5424e-02 6.5780e+01 6.8174e-02 9.5624e-02 1.7511e+02 1.1655e+02
2.6392e-03 1.6241e+03 5.0148e-02 -2.3463e-02 3.2483e+03 1.6242e+03 -1.0961e-02 8.8760e-02 6.5777e+01 7.9563e-02 1.1164e-01 1.7506e+02 1.1648e+02
2.8615e-03 1.7373e+03 6.2985e-02 -2.9394e-02 3.4747e+03 1.7375e+03 -1.2581e-02 1.0447e-01 6.5775e+01 9.2752e-02 1.3020e-01 1.7499e+02 1.1640e+02
3.1025e-03 1.8563e+03 7.9006e-02 -3.6765e-02 3.7128e+03 1.8565e+03 -1.4377e-02 1.2298e-01 6.5772e+01 1.0799e-01 1.5167e-01 1.7491e+02 1.1630e+02
3.3638e-03 1.9809e+03 9.8953e-02 -4.5898e-02 3.9621e+03 1.9811e+03 -1.6345e-02 1.4480e-01 6.5768e+01 1.2555e-01 1.7645e-01 1.7481e+02 1.1619e+02
3.6472e-03 2.1111e+03 1.2375e-01 -5.7186e-02 4.2226e+03 2.1114e+03 -1.8466e-02 1.7053e-01 6.5764e+01 1.4572e-01 2.0495e-01 1.7470e+02 1.1605e+02
3.9544e-03 2.2467e+03 1.5449e-01 -7.1097e-02 4.4938e+03 2.2470e+03 -2.0700e-02 2.0087e-01 6.5759e+01 1.6880e-01 2.3764e-01 1.7458e+02 1.1590e+02
